regime,description,start,end,n_obs,mean_corr,median_corr,std_corr,min_corr,max_corr,ann_vol_pct
Crypto Bear 2018,Post-ATH bear market,2018-01-01,2018-12-31,351,-0.087,-0.101,0.139,-0.411,0.218,68.1
Calm 2019,Low-volatility recovery,2019-01-01,2019-12-31,360,0.18,0.173,0.1,-0.04,0.384,56.7
COVID Crash,Global pandemic shock,2020-02-20,2020-03-23,33,0.206,0.151,0.117,0.079,0.493,152.7
COVID Recovery,Central bank liquidity surge,2020-03-24,2020-12-31,278,0.373,0.352,0.119,0.077,0.625,47.0
Crypto Bull 2021,"All-time highs, institutional entry",2021-01-01,2021-11-10,307,-0.0,0.018,0.137,-0.341,0.275,69.0
Rate Hike Cycle,"Fed tightening, risk-off",2022-01-01,2022-06-15,162,-0.042,-0.025,0.145,-0.326,0.199,58.9
Terra/Luna Collapse,Algorithmic stablecoin failure,2022-05-01,2022-06-30,59,0.008,0.016,0.125,-0.326,0.199,72.0
FTX Collapse,Centralised exchange failure,2022-11-01,2022-11-30,30,0.349,0.323,0.075,0.245,0.496,69.2
Crypto Recovery 2023,Gradual market normalisation,2023-01-01,2023-12-31,357,0.104,0.161,0.181,-0.368,0.515,36.6
BTC ETF / Halving 2024,Spot ETF approval + halving,2024-01-01,2024-06-30,177,0.06,0.071,0.135,-0.174,0.297,46.2
