regime,description,start,end,n_obs,mean_corr,median_corr,std_corr,min_corr,max_corr,ann_vol_pct
Crypto Bear 2018,Post-ATH bear market,2018-01-01,2018-12-31,321,-0.084,-0.074,0.086,-0.276,0.088,68.1
Calm 2019,Low-volatility recovery,2019-01-01,2019-12-31,360,0.171,0.179,0.079,-0.014,0.34,56.7
COVID Crash,Global pandemic shock,2020-02-20,2020-03-23,33,0.186,0.116,0.131,0.028,0.481,152.7
COVID Recovery,Central bank liquidity surge,2020-03-24,2020-12-31,278,0.37,0.355,0.092,0.141,0.543,47.0
Crypto Bull 2021,"All-time highs, institutional entry",2021-01-01,2021-11-10,307,-0.001,0.004,0.088,-0.24,0.165,69.0
Rate Hike Cycle,"Fed tightening, risk-off",2022-01-01,2022-06-15,162,-0.045,-0.072,0.114,-0.213,0.163,58.9
Terra/Luna Collapse,Algorithmic stablecoin failure,2022-05-01,2022-06-30,59,-0.057,-0.069,0.109,-0.208,0.163,72.0
FTX Collapse,Centralised exchange failure,2022-11-01,2022-11-30,30,0.378,0.368,0.044,0.303,0.475,69.2
Crypto Recovery 2023,Gradual market normalisation,2023-01-01,2023-12-31,357,0.119,0.142,0.143,-0.267,0.435,36.6
BTC ETF / Halving 2024,Spot ETF approval + halving,2024-01-01,2024-06-30,177,0.027,0.073,0.122,-0.204,0.197,46.2
