regime,description,start,end,n_obs,mean_corr,median_corr,std_corr,min_corr,max_corr,ann_vol_pct
Crypto Bear 2018,Post-ATH bear market,2018-01-01,2018-12-31,321,0.084,0.116,0.144,-0.169,0.362,68.1
Calm 2019,Low-volatility recovery,2019-01-01,2019-12-31,360,-0.003,-0.019,0.096,-0.198,0.17,56.7
COVID Crash,Global pandemic shock,2020-02-20,2020-03-23,33,0.183,0.054,0.252,-0.127,0.522,152.7
COVID Recovery,Central bank liquidity surge,2020-03-24,2020-12-31,278,0.395,0.403,0.104,0.154,0.551,47.0
Crypto Bull 2021,"All-time highs, institutional entry",2021-01-01,2021-11-10,307,0.271,0.295,0.083,0.003,0.393,69.0
Rate Hike Cycle,"Fed tightening, risk-off",2022-01-01,2022-06-15,162,0.515,0.507,0.063,0.353,0.653,58.9
Terra/Luna Collapse,Algorithmic stablecoin failure,2022-05-01,2022-06-30,59,0.6,0.609,0.033,0.526,0.653,72.0
FTX Collapse,Centralised exchange failure,2022-11-01,2022-11-30,30,0.554,0.552,0.018,0.509,0.583,69.2
Crypto Recovery 2023,Gradual market normalisation,2023-01-01,2023-12-31,357,0.24,0.221,0.157,-0.013,0.605,36.6
BTC ETF / Halving 2024,Spot ETF approval + halving,2024-01-01,2024-06-30,177,0.137,0.122,0.099,-0.055,0.357,46.2
