regime,description,start,end,n_obs,mean_corr,median_corr,std_corr,min_corr,max_corr,ann_vol_pct
Crypto Bear 2018,Post-ATH bear market,2018-01-01,2018-12-31,321,-0.006,-0.009,0.073,-0.137,0.166,68.1
Calm 2019,Low-volatility recovery,2019-01-01,2019-12-31,360,0.13,0.134,0.062,0.001,0.297,56.7
COVID Crash,Global pandemic shock,2020-02-20,2020-03-23,33,0.112,0.027,0.166,-0.102,0.463,152.7
COVID Recovery,Central bank liquidity surge,2020-03-24,2020-12-31,278,0.394,0.363,0.094,0.171,0.555,47.0
Crypto Bull 2021,"All-time highs, institutional entry",2021-01-01,2021-11-10,307,0.106,0.108,0.067,-0.089,0.303,69.0
Rate Hike Cycle,"Fed tightening, risk-off",2022-01-01,2022-06-15,162,0.045,0.054,0.121,-0.147,0.279,58.9
Terra/Luna Collapse,Algorithmic stablecoin failure,2022-05-01,2022-06-30,59,0.057,0.057,0.091,-0.112,0.227,72.0
FTX Collapse,Centralised exchange failure,2022-11-01,2022-11-30,30,0.389,0.382,0.04,0.349,0.473,69.2
Crypto Recovery 2023,Gradual market normalisation,2023-01-01,2023-12-31,357,0.132,0.155,0.177,-0.237,0.413,36.6
BTC ETF / Halving 2024,Spot ETF approval + halving,2024-01-01,2024-06-30,177,0.084,0.101,0.117,-0.171,0.285,46.2
