regime,description,start,end,n_obs,mean_corr,median_corr,std_corr,min_corr,max_corr,ann_vol_pct
Crypto Bear 2018,Post-ATH bear market,2018-01-01,2018-12-31,321,0.025,0.044,0.08,-0.264,0.182,68.1
Calm 2019,Low-volatility recovery,2019-01-01,2019-12-31,360,-0.111,-0.127,0.12,-0.334,0.162,56.7
COVID Crash,Global pandemic shock,2020-02-20,2020-03-23,33,0.053,0.058,0.084,-0.294,0.168,152.7
COVID Recovery,Central bank liquidity surge,2020-03-24,2020-12-31,278,-0.209,-0.332,0.254,-0.512,0.35,47.0
Crypto Bull 2021,"All-time highs, institutional entry",2021-01-01,2021-11-10,307,-0.172,-0.177,0.072,-0.303,-0.018,69.0
Rate Hike Cycle,"Fed tightening, risk-off",2022-01-01,2022-06-15,162,-0.184,-0.193,0.106,-0.378,-0.0,58.9
Terra/Luna Collapse,Algorithmic stablecoin failure,2022-05-01,2022-06-30,59,-0.29,-0.29,0.048,-0.378,-0.216,72.0
FTX Collapse,Centralised exchange failure,2022-11-01,2022-11-30,30,-0.497,-0.493,0.022,-0.546,-0.452,69.2
Crypto Recovery 2023,Gradual market normalisation,2023-01-01,2023-12-31,357,-0.165,-0.151,0.139,-0.51,0.098,36.6
BTC ETF / Halving 2024,Spot ETF approval + halving,2024-01-01,2024-06-30,177,-0.152,-0.22,0.165,-0.383,0.139,46.2
