regime,description,start,end,n_obs,mean_corr,median_corr,std_corr,min_corr,max_corr,ann_vol_pct
Crypto Bear 2018,Post-ATH bear market,2018-01-01,2018-12-31,351,0.823,0.868,0.138,0.207,0.95,68.1
Calm 2019,Low-volatility recovery,2019-01-01,2019-12-31,360,0.851,0.864,0.056,0.71,0.955,56.7
COVID Crash,Global pandemic shock,2020-02-20,2020-03-23,33,0.874,0.83,0.067,0.797,0.96,152.7
COVID Recovery,Central bank liquidity surge,2020-03-24,2020-12-31,278,0.793,0.806,0.113,0.506,0.967,47.0
Crypto Bull 2021,"All-time highs, institutional entry",2021-01-01,2021-11-10,307,0.757,0.789,0.093,0.47,0.899,69.0
Rate Hike Cycle,"Fed tightening, risk-off",2022-01-01,2022-06-15,162,0.9,0.907,0.031,0.825,0.951,58.9
Terra/Luna Collapse,Algorithmic stablecoin failure,2022-05-01,2022-06-30,59,0.927,0.926,0.009,0.905,0.951,72.0
FTX Collapse,Centralised exchange failure,2022-11-01,2022-11-30,30,0.904,0.953,0.08,0.75,0.96,69.2
Crypto Recovery 2023,Gradual market normalisation,2023-01-01,2023-12-31,357,0.85,0.871,0.072,0.658,0.968,36.6
BTC ETF / Halving 2024,Spot ETF approval + halving,2024-01-01,2024-06-30,177,0.787,0.772,0.067,0.671,0.905,46.2
