regime,description,start,end,n_obs,mean_corr,median_corr,std_corr,min_corr,max_corr,ann_vol_pct
Crypto Bear 2018,Post-ATH bear market,2018-01-01,2018-12-31,351,0.091,0.108,0.18,-0.262,0.375,68.1
Calm 2019,Low-volatility recovery,2019-01-01,2019-12-31,360,-0.038,-0.03,0.096,-0.25,0.135,56.7
COVID Crash,Global pandemic shock,2020-02-20,2020-03-23,33,0.242,0.138,0.243,-0.134,0.573,152.7
COVID Recovery,Central bank liquidity surge,2020-03-24,2020-12-31,278,0.346,0.376,0.122,0.052,0.534,47.0
Crypto Bull 2021,"All-time highs, institutional entry",2021-01-01,2021-11-10,307,0.267,0.322,0.132,-0.074,0.436,69.0
Rate Hike Cycle,"Fed tightening, risk-off",2022-01-01,2022-06-15,162,0.492,0.465,0.105,0.328,0.741,58.9
Terra/Luna Collapse,Algorithmic stablecoin failure,2022-05-01,2022-06-30,59,0.618,0.585,0.064,0.525,0.741,72.0
FTX Collapse,Centralised exchange failure,2022-11-01,2022-11-30,30,0.519,0.513,0.042,0.464,0.593,69.2
Crypto Recovery 2023,Gradual market normalisation,2023-01-01,2023-12-31,357,0.212,0.182,0.189,-0.127,0.688,36.6
BTC ETF / Halving 2024,Spot ETF approval + halving,2024-01-01,2024-06-30,177,0.175,0.123,0.138,-0.174,0.477,46.2
