regime,description,start,end,n_obs,mean_corr,median_corr,std_corr,min_corr,max_corr,ann_vol_pct
Crypto Bull 2017,Initial crypto bull run,2017-01-01,2017-12-17,25,-0.16,-0.107,0.334,-0.682,0.332,103.9
Crypto Bear 2018,Post-ATH bear market,2018-01-01,2018-12-31,359,0.024,0.025,0.285,-0.598,0.677,68.1
Calm 2019,Low-volatility recovery,2019-01-01,2019-12-31,360,0.112,0.115,0.282,-0.642,0.759,56.7
COVID Crash,Global pandemic shock,2020-02-20,2020-03-23,33,0.205,0.228,0.202,-0.188,0.661,152.7
COVID Recovery,Central bank liquidity surge,2020-03-24,2020-12-31,278,0.41,0.471,0.275,-0.469,0.848,47.0
Crypto Bull 2021,"All-time highs, institutional entry",2021-01-01,2021-11-10,307,0.122,0.123,0.273,-0.585,0.764,69.0
Rate Hike Cycle,"Fed tightening, risk-off",2022-01-01,2022-06-15,162,0.025,0.024,0.31,-0.691,0.796,58.9
Terra/Luna Collapse,Algorithmic stablecoin failure,2022-05-01,2022-06-30,59,0.181,0.241,0.295,-0.334,0.796,72.0
FTX Collapse,Centralised exchange failure,2022-11-01,2022-11-30,30,0.408,0.382,0.156,0.124,0.739,69.2
Crypto Recovery 2023,Gradual market normalisation,2023-01-01,2023-12-31,357,0.085,0.156,0.349,-0.737,0.8,36.6
BTC ETF / Halving 2024,Spot ETF approval + halving,2024-01-01,2024-06-30,177,0.148,0.246,0.337,-0.649,0.717,46.2
