regime,description,start,end,n_obs,mean_corr,median_corr,std_corr,min_corr,max_corr,ann_vol_pct
Crypto Bull 2017,Initial crypto bull run,2017-01-01,2017-12-17,25,-0.212,-0.232,0.311,-0.65,0.293,103.9
Crypto Bear 2018,Post-ATH bear market,2018-01-01,2018-12-31,359,-0.04,0.002,0.333,-0.812,0.837,68.1
Calm 2019,Low-volatility recovery,2019-01-01,2019-12-31,360,0.142,0.121,0.268,-0.4,0.714,56.7
COVID Crash,Global pandemic shock,2020-02-20,2020-03-23,33,0.236,0.237,0.194,-0.14,0.583,152.7
COVID Recovery,Central bank liquidity surge,2020-03-24,2020-12-31,278,0.376,0.412,0.256,-0.406,0.829,47.0
Crypto Bull 2021,"All-time highs, institutional entry",2021-01-01,2021-11-10,307,0.005,-0.004,0.311,-0.707,0.845,69.0
Rate Hike Cycle,"Fed tightening, risk-off",2022-01-01,2022-06-15,162,-0.06,-0.05,0.268,-0.789,0.655,58.9
Terra/Luna Collapse,Algorithmic stablecoin failure,2022-05-01,2022-06-30,59,0.03,0.07,0.291,-0.596,0.655,72.0
FTX Collapse,Centralised exchange failure,2022-11-01,2022-11-30,30,0.41,0.388,0.196,-0.102,0.782,69.2
Crypto Recovery 2023,Gradual market normalisation,2023-01-01,2023-12-31,357,0.068,0.094,0.334,-0.846,0.73,36.6
BTC ETF / Halving 2024,Spot ETF approval + halving,2024-01-01,2024-06-30,177,0.078,0.105,0.327,-0.728,0.638,46.2
