regime,description,start,end,n_obs,mean_corr,median_corr,std_corr,min_corr,max_corr,ann_vol_pct
Crypto Bear 2018,Post-ATH bear market,2018-01-01,2018-12-31,351,-0.011,-0.018,0.113,-0.261,0.224,68.1
Calm 2019,Low-volatility recovery,2019-01-01,2019-12-31,360,0.143,0.148,0.082,-0.059,0.32,56.7
COVID Crash,Global pandemic shock,2020-02-20,2020-03-23,33,0.128,0.074,0.167,-0.125,0.486,152.7
COVID Recovery,Central bank liquidity surge,2020-03-24,2020-12-31,278,0.396,0.381,0.123,0.111,0.615,47.0
Crypto Bull 2021,"All-time highs, institutional entry",2021-01-01,2021-11-10,307,0.11,0.108,0.109,-0.117,0.355,69.0
Rate Hike Cycle,"Fed tightening, risk-off",2022-01-01,2022-06-15,162,0.04,0.093,0.162,-0.256,0.285,58.9
Terra/Luna Collapse,Algorithmic stablecoin failure,2022-05-01,2022-06-30,59,0.139,0.174,0.123,-0.251,0.284,72.0
FTX Collapse,Centralised exchange failure,2022-11-01,2022-11-30,30,0.352,0.337,0.05,0.295,0.461,69.2
Crypto Recovery 2023,Gradual market normalisation,2023-01-01,2023-12-31,357,0.113,0.167,0.211,-0.392,0.482,36.6
BTC ETF / Halving 2024,Spot ETF approval + halving,2024-01-01,2024-06-30,177,0.124,0.131,0.115,-0.133,0.378,46.2
