regime,description,start,end,n_obs,mean_corr,median_corr,std_corr,min_corr,max_corr,ann_vol_pct
Crypto Bull 2017,Initial crypto bull run,2017-01-01,2017-12-17,25,0.208,0.217,0.134,0.019,0.437,103.9
Crypto Bear 2018,Post-ATH bear market,2018-01-01,2018-12-31,359,-0.016,0.004,0.309,-0.812,0.666,68.1
Calm 2019,Low-volatility recovery,2019-01-01,2019-12-31,360,-0.061,-0.072,0.267,-0.772,0.572,56.7
COVID Crash,Global pandemic shock,2020-02-20,2020-03-23,33,-0.104,-0.075,0.242,-0.56,0.275,152.7
COVID Recovery,Central bank liquidity surge,2020-03-24,2020-12-31,278,-0.319,-0.379,0.346,-0.894,0.642,47.0
Crypto Bull 2021,"All-time highs, institutional entry",2021-01-01,2021-11-10,307,-0.189,-0.173,0.309,-0.863,0.568,69.0
Rate Hike Cycle,"Fed tightening, risk-off",2022-01-01,2022-06-15,162,-0.193,-0.202,0.244,-0.83,0.387,58.9
Terra/Luna Collapse,Algorithmic stablecoin failure,2022-05-01,2022-06-30,59,-0.228,-0.272,0.187,-0.589,0.36,72.0
FTX Collapse,Centralised exchange failure,2022-11-01,2022-11-30,30,-0.603,-0.579,0.171,-0.858,-0.159,69.2
Crypto Recovery 2023,Gradual market normalisation,2023-01-01,2023-12-31,357,-0.102,-0.22,0.355,-0.708,0.74,36.6
BTC ETF / Halving 2024,Spot ETF approval + halving,2024-01-01,2024-06-30,177,-0.233,-0.19,0.298,-0.807,0.425,46.2
