regime,description,start,end,n_obs,mean_corr,median_corr,std_corr,min_corr,max_corr,ann_vol_pct
Crypto Bear 2018,Post-ATH bear market,2018-01-01,2018-12-31,321,0.818,0.841,0.096,0.528,0.937,68.1
Calm 2019,Low-volatility recovery,2019-01-01,2019-12-31,360,0.848,0.845,0.041,0.758,0.923,56.7
COVID Crash,Global pandemic shock,2020-02-20,2020-03-23,33,0.876,0.838,0.057,0.816,0.952,152.7
COVID Recovery,Central bank liquidity surge,2020-03-24,2020-12-31,278,0.814,0.775,0.099,0.662,0.957,47.0
Crypto Bull 2021,"All-time highs, institutional entry",2021-01-01,2021-11-10,307,0.745,0.788,0.089,0.499,0.859,69.0
Rate Hike Cycle,"Fed tightening, risk-off",2022-01-01,2022-06-15,162,0.887,0.898,0.036,0.786,0.932,58.9
Terra/Luna Collapse,Algorithmic stablecoin failure,2022-05-01,2022-06-30,59,0.923,0.924,0.007,0.903,0.934,72.0
FTX Collapse,Centralised exchange failure,2022-11-01,2022-11-30,30,0.869,0.88,0.026,0.822,0.892,69.2
Crypto Recovery 2023,Gradual market normalisation,2023-01-01,2023-12-31,357,0.861,0.874,0.058,0.707,0.959,36.6
BTC ETF / Halving 2024,Spot ETF approval + halving,2024-01-01,2024-06-30,177,0.784,0.803,0.06,0.696,0.858,46.2
