regime,description,start,end,n_obs,mean_corr,median_corr,std_corr,min_corr,max_corr,ann_vol_pct
Crypto Bear 2018,Post-ATH bear market,2018-01-01,2018-12-31,321,0.081,0.131,0.156,-0.23,0.358,68.1
Calm 2019,Low-volatility recovery,2019-01-01,2019-12-31,360,-0.036,-0.044,0.087,-0.229,0.107,56.7
COVID Crash,Global pandemic shock,2020-02-20,2020-03-23,33,0.217,0.089,0.231,-0.09,0.538,152.7
COVID Recovery,Central bank liquidity surge,2020-03-24,2020-12-31,278,0.365,0.371,0.102,0.098,0.502,47.0
Crypto Bull 2021,"All-time highs, institutional entry",2021-01-01,2021-11-10,307,0.26,0.278,0.097,-0.005,0.401,69.0
Rate Hike Cycle,"Fed tightening, risk-off",2022-01-01,2022-06-15,162,0.46,0.439,0.062,0.341,0.607,58.9
Terra/Luna Collapse,Algorithmic stablecoin failure,2022-05-01,2022-06-30,59,0.555,0.558,0.043,0.443,0.624,72.0
FTX Collapse,Centralised exchange failure,2022-11-01,2022-11-30,30,0.551,0.552,0.016,0.503,0.572,69.2
Crypto Recovery 2023,Gradual market normalisation,2023-01-01,2023-12-31,357,0.232,0.194,0.159,-0.056,0.617,36.6
BTC ETF / Halving 2024,Spot ETF approval + halving,2024-01-01,2024-06-30,177,0.125,0.114,0.1,-0.081,0.33,46.2
