regime,description,start,end,n_obs,mean_corr,median_corr,std_corr,min_corr,max_corr,ann_vol_pct
Crypto Bull 2017,Initial crypto bull run,2017-01-01,2017-12-17,9,0.159,0.161,0.025,0.135,0.215,103.9
Crypto Bear 2018,Post-ATH bear market,2018-01-01,2018-12-31,359,0.109,0.07,0.242,-0.329,0.68,68.1
Calm 2019,Low-volatility recovery,2019-01-01,2019-12-31,360,0.008,0.011,0.16,-0.356,0.487,56.7
COVID Crash,Global pandemic shock,2020-02-20,2020-03-23,33,0.266,0.191,0.237,-0.103,0.588,152.7
COVID Recovery,Central bank liquidity surge,2020-03-24,2020-12-31,278,0.341,0.384,0.22,-0.225,0.804,47.0
Crypto Bull 2021,"All-time highs, institutional entry",2021-01-01,2021-11-10,307,0.274,0.277,0.166,-0.184,0.569,69.0
Rate Hike Cycle,"Fed tightening, risk-off",2022-01-01,2022-06-15,162,0.575,0.552,0.137,0.253,0.833,58.9
Terra/Luna Collapse,Algorithmic stablecoin failure,2022-05-01,2022-06-30,59,0.617,0.599,0.16,0.253,0.833,72.0
FTX Collapse,Centralised exchange failure,2022-11-01,2022-11-30,30,0.514,0.519,0.072,0.235,0.605,69.2
Crypto Recovery 2023,Gradual market normalisation,2023-01-01,2023-12-31,357,0.197,0.201,0.189,-0.238,0.568,36.6
BTC ETF / Halving 2024,Spot ETF approval + halving,2024-01-01,2024-06-30,177,0.21,0.161,0.173,-0.278,0.647,46.2
