regime,description,start,end,n_obs,mean_corr,median_corr,std_corr,min_corr,max_corr,ann_vol_pct
Crypto Bear 2018,Post-ATH bear market,2018-01-01,2018-12-31,351,0.032,0.047,0.119,-0.347,0.238,68.1
Calm 2019,Low-volatility recovery,2019-01-01,2019-12-31,360,-0.097,-0.106,0.147,-0.375,0.184,56.7
COVID Crash,Global pandemic shock,2020-02-20,2020-03-23,33,0.016,-0.005,0.098,-0.336,0.182,152.7
COVID Recovery,Central bank liquidity surge,2020-03-24,2020-12-31,278,-0.257,-0.335,0.263,-0.646,0.447,47.0
Crypto Bull 2021,"All-time highs, institutional entry",2021-01-01,2021-11-10,307,-0.175,-0.173,0.097,-0.368,0.062,69.0
Rate Hike Cycle,"Fed tightening, risk-off",2022-01-01,2022-06-15,162,-0.196,-0.228,0.134,-0.462,0.051,58.9
Terra/Luna Collapse,Algorithmic stablecoin failure,2022-05-01,2022-06-30,59,-0.28,-0.259,0.071,-0.462,-0.17,72.0
FTX Collapse,Centralised exchange failure,2022-11-01,2022-11-30,30,-0.499,-0.484,0.062,-0.608,-0.423,69.2
Crypto Recovery 2023,Gradual market normalisation,2023-01-01,2023-12-31,357,-0.144,-0.149,0.155,-0.536,0.215,36.6
BTC ETF / Halving 2024,Spot ETF approval + halving,2024-01-01,2024-06-30,177,-0.199,-0.261,0.175,-0.502,0.225,46.2
